TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Roll,Pitch,Yaw,C1,C2,C3,C4,TimeSec,dot_GyrX,dot_GyrY,dot_GyrZ
66439247,0.0010139408987015486,0.00106007547583431,0.0009533308329991996,-0.0016800655284896493,-0.0010744711617007852,-9.814790725708008,0.001205717185246115,0.0009864913689125,6.188874250864393,1000.0,1000.0,1000.0,1000.0,0.79968,-0.0005021153198441018,0.0003780557296234107,0.00015028681158468261
66479231,0.0009588281391188502,0.0009357475209981203,0.0009310058085247874,-0.001638932852074504,-0.0010631310287863016,-9.817789077758789,0.001205717185246115,0.0009864913689125,6.188874250864393,1000.0,1000.0,1000.0,1000.0,0.839664,-0.0013815686728122552,-0.0022440309614959013,-0.00023267997106221974
66519215,0.0009034596150740981,0.0008806248079054058,0.0009347238810732961,-0.0008124556625261903,-0.0016088011907413602,-9.818490028381348,0.001205717185246115,0.0009864913689125,6.188874250864393,1000.0,1000.0,1000.0,1000.0,0.879648,-5.6916389524154856e-05,-9.8548609582267e-06,0.000421485830364483
66559199,0.0009542766492813826,0.0009349594474770129,0.0009647111874073744,-0.0006676161428913474,-0.0003065063792746514,-9.817420959472656,0.0012033821079172793,0.0009833077990976896,6.188841227666876,1000.0,1000.0,1000.0,1000.0,0.919632,0.0012999012165901512,8.935030262243598e-05,-0.000177006084503991
66599183,0.0010074101155623794,0.0008877699729055166,0.0009205690585076809,-0.00117713981308043,-0.0010048442054539919,-9.81691837310791,0.0012033821079172793,0.0009833077990976896,6.188841227666876,1000.0,1000.0,1000.0,1000.0,0.959616,0.0031061205720784597,0.003149068083794112,0.00024962736213175046
66639167,0.001202666899189353,0.0011867841240018606,0.0009846733883023262,0.0009934580884873867,0.0008300348417833447,-9.819112777709961,0.0012082535601026577,0.000986957617159008,6.18881033499823,1000.0,1000.0,1000.0,1000.0,0.9996,-0.0003443079806414069,0.000863124665777374,-0.000460346984932674
66679151,0.0009798764949664474,0.0009567923261784017,0.0008837560308165848,-0.0012513287365436554,-0.0008504509460180998,-9.81716537475586,0.0012082535601026577,0.000986957617159008,6.18881033499823,1000.0,1000.0,1000.0,1000.0,1.039584,-0.004888641385349623,-0.002346660833017211,-0.0005483790843498985
66719135,0.000811732024885714,0.0009991263505071402,0.0009408206096850336,-0.0011852483730763197,-0.0009935235138982534,-9.818419456481934,0.0012082535601026577,0.000986957617159008,6.18881033499823,1000.0,1000.0,1000.0,1000.0,1.079568,-0.0009638707659595982,-0.0008854838960687395,0.0017587283736418304
66759119,0.0009027976775541902,0.0008859819499775767,0.0010243980213999748,-0.0018922246526926756,-0.0020647807978093624,-9.81701374053955,0.0012043335898360348,0.0009844628541944977,6.18877837706515,1000.0,1000.0,1000.0,1000.0,1.119552,0.0013219401766383938,-0.000447031749574894,-0.0005732276878946327
66799103,0.0009174449369311333,0.0009633781155571342,0.000894980737939477,-0.0008317151223309338,-0.0006540425820276141,-9.817316055297852,0.0012043335898360348,0.0009844628541944977,6.18877837706515,1000.0,1000.0,1000.0,1000.0,1.159536,0.002996161607198077,0.00018198774255837047,-0.0038313492452453756
