TimeUS,GyrX,GyrY,GyrZ,Roll,Pitch,Yaw,C1,C2,C3,C4,TimeSec
66799103,0.0009174449369311333,0.0009633781155571342,0.000894980737939477,0.06900323182344437,0.05640556663274765,354.59088134765625,1000.0,1000.0,1000.0,1000.0,1.159536
66799103,0.0008561984868720174,0.0011300953337922692,0.0008238233858719468,0.06900323182344437,0.05640556663274765,354.59088134765625,1000.0,1000.0,1000.0,1000.0,1.159536
66839087,0.0011423947289586067,0.0009005351457744837,0.000718012684956193,0.06907538324594498,0.056500256061553955,354.5892028808594,1000.0,1000.0,1000.0,1000.0,1.19952
66839087,0.000945043982937932,0.0009417025139555335,0.0009403045987710357,0.06907538324594498,0.056500256061553955,354.5892028808594,1000.0,1000.0,1000.0,1000.0,1.19952
66879071,0.000973587273620069,0.0008770662825554609,0.0008674193522892892,0.06907538324594498,0.056500256061553955,354.5892028808594,1000.0,1000.0,1000.0,1000.0,1.239504
66879071,0.0009505728958174586,0.0009014594834297895,0.0008982332656159997,0.06907538324594498,0.056500256061553955,354.5892028808594,1000.0,1000.0,1000.0,1000.0,1.239504
66919055,0.000991567736491561,0.0010070372372865677,0.001004965859465301,0.06907538324594498,0.056500256061553955,354.5892028808594,1000.0,1000.0,1000.0,1000.0,1.279488
66919055,0.0008622189052402973,0.0008168875938281417,0.0011850269511342049,0.06907538324594498,0.056500256061553955,354.5892028808594,1000.0,1000.0,1000.0,1000.0,1.279488
66959039,0.0009279425721615553,0.0010292073711752892,0.0009392194333486259,0.0690649077296257,0.05654577910900116,354.58758544921875,1000.0,1000.0,1000.0,1000.0,1.319472
66959039,0.0010172480251640081,0.0006990424590185285,0.0010079238563776016,0.0690649077296257,0.05654577910900116,354.58758544921875,1000.0,1000.0,1000.0,1000.0,1.319472
66999023,0.0009476703708060086,0.000961451034527272,0.0010412868577986956,0.0690649077296257,0.05654577910900116,354.58758544921875,1000.0,1000.0,1000.0,1000.0,1.359456
66999023,0.0011981596471741796,0.0008127079345285892,0.0010716035030782223,0.0690649077296257,0.05654577910900116,354.58758544921875,1000.0,1000.0,1000.0,1000.0,1.359456
67039840,0.0009124147472903132,0.0009159014443866909,0.0008910757023841143,0.06930875033140182,0.05673317611217499,354.5859069824219,1000.0,1000.0,1000.0,1000.0,1.400273
67039840,0.0008759903721511364,0.0010985085973516107,0.0008115601958706975,0.06930875033140182,0.05673317611217499,354.5859069824219,1000.0,1000.0,1000.0,1000.0,1.400273
67079824,0.0010391881223767996,0.0007926414255052805,0.0009558445890434086,0.06930875033140182,0.05673317611217499,354.5859069824219,1000.0,1000.0,1000.0,1000.0,1.440257
67079824,0.0009056464768946171,0.0009201953653246164,0.0009705648990347981,0.06930875033140182,0.05673317611217499,354.5859069824219,1000.0,1000.0,1000.0,1000.0,1.440257
67119808,0.0009953139815479517,0.000971904955804348,0.0009424218442291021,0.06930875033140182,0.05673317611217499,354.5859069824219,1000.0,1000.0,1000.0,1000.0,1.480241
67119808,0.000947799941059202,0.000668437103740871,0.0009300800156779587,0.06930875033140182,0.05673317611217499,354.5859069824219,1000.0,1000.0,1000.0,1000.0,1.480241
67159792,0.0008968223119154572,0.0009230941068381071,0.0008445749990642071,0.06917008757591248,0.05654498562216759,354.58489990234375,1000.0,1000.0,1000.0,1000.0,1.520225
67159792,0.0011134445667266846,0.0008137065451592207,0.0010831073159351945,0.06917008757591248,0.05654498562216759,354.58489990234375,1000.0,1000.0,1000.0,1000.0,1.520225
67199776,0.0009156821761280298,0.0009974665008485317,0.0009014280512928963,0.06917008757591248,0.05654498562216759,354.58489990234375,1000.0,1000.0,1000.0,1000.0,1.560209
67199776,0.0008851522579789162,0.0009923821780830622,0.0007749977521598339,0.06917008757591248,0.05654498562216759,354.58489990234375,1000.0,1000.0,1000.0,1000.0,1.560209
67239760,0.0009107126388698816,0.000981524819508195,0.0009595402516424656,0.06909505277872086,0.0567096583545208,354.58343505859375,1000.0,1000.0,1000.0,1000.0,1.600193
67239760,0.001219542813487351,0.0009641573997214437,0.0010597629006952047,0.06909505277872086,0.0567096583545208,354.58343505859375,1000.0,1000.0,1000.0,1000.0,1.600193
67279744,0.0009592277347110212,0.0008946512243710458,0.0009792520431801677,0.06909505277872086,0.0567096583545208,354.58343505859375,1000.0,1000.0,1000.0,1000.0,1.640177
67279744,0.0010166650172322989,0.0011034307535737753,0.0008419775986112654,0.06909505277872086,0.0567096583545208,354.58343505859375,1000.0,1000.0,1000.0,1000.0,1.640177
67319728,0.000978010706603527,0.0009468887583352625,0.000888579583261162,0.06909505277872086,0.0567096583545208,354.58343505859375,1000.0,1000.0,1000.0,1000.0,1.680161
67319728,0.001159720472060144,0.0011408105492591858,0.000809879566077143,0.06909505277872086,0.0567096583545208,354.58343505859375,1000.0,1000.0,1000.0,1000.0,1.680161
67359712,0.0008071707561612129,0.0009361277334392071,0.0008268882520496845,0.0690142959356308,0.05652536824345589,354.5818176269531,1000.0,1000.0,1000.0,1000.0,1.720145
67359712,0.0009545949287712574,0.000991559587419033,0.0008930100593715906,0.0690142959356308,0.05652536824345589,354.5818176269531,1000.0,1000.0,1000.0,1000.0,1.720145
67399696,0.000991067267023027,0.0009411220671609044,0.0010067783296108246,0.0690142959356308,0.05652536824345589,354.5818176269531,1000.0,1000.0,1000.0,1000.0,1.760129
67399696,0.0011360751232132316,0.0008580604335293174,0.0005046631558798254,0.0690142959356308,0.05652536824345589,354.5818176269531,1000.0,1000.0,1000.0,1000.0,1.760129
67439680,0.0009223962551914155,0.0009607570245862007,0.0009210376301780343,0.06931658089160919,0.05676012858748436,354.580078125,1000.0,1000.0,1000.0,1000.0,1.800113
67439680,0.0007160789100453258,0.0008477638475596905,0.001049149315804243,0.06931658089160919,0.05676012858748436,354.580078125,1000.0,1000.0,1000.0,1000.0,1.800113
67479664,0.0009475598926655948,0.0008759241900406778,0.0008986180182546377,0.06931658089160919,0.05676012858748436,354.580078125,1000.0,1000.0,1000.0,1000.0,1.840097
67479664,0.0008078924147412181,0.0012536238646134734,0.0009523291955702007,0.06931658089160919,0.05676012858748436,354.580078125,1000.0,1000.0,1000.0,1000.0,1.840097
67519648,0.0009644317324273288,0.0010655354708433151,0.0009156304877251387,0.06931658089160919,0.05676012858748436,354.580078125,1000.0,1000.0,1000.0,1000.0,1.880081
67519648,0.0007926191901788116,0.0010966628324240446,0.0009189934935420752,0.06931658089160919,0.05676012858748436,354.580078125,1000.0,1000.0,1000.0,1000.0,1.880081
67559632,0.0008729910477995872,0.0010880191111937165,0.0011569918133318424,0.06921113282442093,0.05652568116784096,354.5782470703125,1000.0,1000.0,1000.0,1000.0,1.920065
67559632,0.0009513250552117825,0.0009283070685341954,0.0009833516087383032,0.06921113282442093,0.05652568116784096,354.5782470703125,1000.0,1000.0,1000.0,1000.0,1.920065
67599616,0.000961161800660193,0.0009138109744526446,0.0008892224868759513,0.06921113282442093,0.05652568116784096,354.5782470703125,1000.0,1000.0,1000.0,1000.0,1.960049
67599616,0.0011515294900164008,0.0008147838525474072,0.0008866465650498867,0.06921113282442093,0.05652568116784096,354.5782470703125,1000.0,1000.0,1000.0,1000.0,1.960049
67639600,0.0008701999904587865,0.0009581629419699311,0.0009906123159453273,0.06924817711114883,0.05661569535732269,354.5765075683594,1000.0,1000.0,1000.0,1000.0,2.000033
67639600,0.0008950576302595437,0.0011464280541986227,0.0007592827314510942,0.06924817711114883,0.05661569535732269,354.5765075683594,1000.0,1000.0,1000.0,1000.0,2.000033
67679584,0.0009319212986156344,0.0009071709937416017,0.0009682090603746474,0.06924817711114883,0.05661569535732269,354.5765075683594,1000.0,1000.0,1000.0,1000.0,2.040017
67679584,0.0010998003417626023,0.0008518992690369487,0.0007754270336590707,0.06924817711114883,0.05661569535732269,354.5765075683594,1000.0,1000.0,1000.0,1000.0,2.040017
